#  L1   L3   E4frac   E5frac
2.438661341368538960e+00 3.435531014130518423e-01 0.000000000000000000e+00 7.581680627951966622e-01
1.298710875702935752e+00 8.149098572248436589e-01 4.584046909286106919e-01 9.078919542395595954e-01
2.451737912195143920e+00 3.977268308530391705e-01 0.000000000000000000e+00 7.691791498392394066e-01
2.701052382118033890e+00 5.864421442705517462e-01 1.813930270510644149e-02 8.201047353723467381e-01
2.817879175287989924e+00 8.916628398742407757e-01 6.695865451847002880e-01 9.438072355756291776e-01
1.380318191265436756e+00 5.700943354954568498e-01 1.119039898895102247e-02 8.149205788774949166e-01
1.934151146566414958e+00 7.047282196197137694e-01 1.884530733670710667e-01 8.619818151984817156e-01
1.874676696341774473e+00 5.580627614513030688e-01 7.340002711253124090e-03 8.111987941782415890e-01
1.299803182384429157e+00 7.075506264720999861e-01 1.948796045060119386e-01 8.630747626710901788e-01
1.510100460516518250e+00 7.638914810774770636e-01 3.285401269884775655e-01 8.858061440456593827e-01
2.003765062146769083e+00 7.789350597880578819e-01 3.659602153159720039e-01 8.921701046455733364e-01
2.755825342116231980e+00 6.974383062265425703e-01 1.719730240130118437e-01 8.591790857164984807e-01
2.108502586271526535e+00 9.016719088496294443e-01 6.985260829508506131e-01 9.487289256719133590e-01
1.247761703176222259e+00 9.127380798996349576e-01 7.308980694971976000e-01 9.542343655607478103e-01
1.235944400075291938e+00 3.819919499839729005e-01 0.000000000000000000e+00 7.658151135471475968e-01
1.644798151151821486e+00 5.417073003233443540e-01 3.569299579985196758e-03 8.062667846785526171e-01
2.908134252859456481e+00 5.555442602751672343e-01 6.655094319639176526e-03 8.104297817884744681e-01
2.956779631678867482e+00 9.053417313907012876e-01 7.092176912400558475e-01 9.505472264013701267e-01
